Model family,Model,Valid regression datasets,Valid classification datasets,Wins,Datasets attempted
CFA combinatorial fusion,CFA (Combinatorial Fusion),22,22,1,44
Chemprop v2 GNN,"Chemprop v2 (AttentiveFP, ensemble=3)",2,4,1,44
Chemprop v2 GNN,"Chemprop v2 (CMPNN, ensemble=3)",2,4,0,44
Chemprop v2 GNN,"Chemprop v2 (D-MPNN + RDKit2D, ensemble=3)",2,4,1,44
Chemprop v2 GNN,"Chemprop v2 (D-MPNN + Selected descriptors, ensemble=3)",2,4,0,44
Chemprop v2 GNN,"Chemprop v2 (D-MPNN, ensemble=3)",2,4,0,44
Conventional ML,AdaBoost,22,22,2,44
Conventional ML,CatBoost,22,22,1,44
Conventional ML,ElasticNetCV,20,0,0,22
Conventional ML,Extra trees,22,22,0,44
Conventional ML,HistGradientBoosting,22,22,1,44
Conventional ML,LogisticRegression,0,22,0,22
Conventional ML,MapLight CatBoost (Strict Parity),22,0,0,22
Conventional ML,Random forest,22,22,4,44
Conventional ML,SVC,0,22,0,22
Conventional ML,SVR,22,0,0,22
Conventional ML,Tabular CNN,22,0,0,22
Conventional ML,Tabular MLP,22,22,0,44
Conventional ML,"Voting Classifier (KNN, SVM)",0,22,0,22
Conventional ML,"Voting Regressor (KNN, SVM)",22,0,0,22
Conventional ML,XGBoost,22,22,0,44
Deep tabular NN (ChemML MLP),ChemML MLP (PyTorch),22,22,1,44
Deep tabular NN (ChemML MLP),ChemML MLP (TensorFlow),22,22,1,44
Ensemble (stacking / averaging),"Ensemble (OOF Stacking (RidgeCV, 5-fold))",22,22,7,44
Ensemble (stacking / averaging),Ensemble (Weighted average (inverse train RMSE)),22,22,9,44
MapLight + GNN,"MapLight + GNN (CatBoost, Strict Parity)",22,22,4,44
Uni-Mol (3D pretrained),Uni-Mol V1,22,22,7,44
Uni-Mol (3D pretrained),Uni-Mol V2 (84m),10,7,4,44
