Dataset,Metric,QSARena best model (test-selected),QSARena value,Reference top-1,Reference top-10 cutoff,References (n),Est. rank,CV-selected model,CV-selected value,CV-selected est. rank
tdc_bioavailability_ma,ROC_AUC,CatBoost,0.7766877286331892,0.748,0.64,8,1,LogisticRegression,0.7149983372131693,3
tdc_carcinogens_lagunin,ROC_AUC,"Chemprop v2 (AttentiveFP, ensemble=3)",0.9286703601108032,0.848,0.795,20,1,"Voting Classifier (KNN, SVM)",0.8365650969529086,5
tdc_clearance_microsome_az,SPEARMAN,Uni-Mol V2 (84m),0.6784416903300331,0.652,0.599,17,1,XGBoost,0.3054659241247038,>10
tdc_cyp2c9_substrate_carbonmangels,AUPRC,"Ensemble (OOF Stacking (RidgeCV, 5-fold))",0.4663814326429536,0.45,0.36,6,1,SVC,0.3007556508489621,7
tdc_toxcast,ROC_AUC,HistGradientBoosting,0.7156874524410268,0.714,0.714,2,1,LogisticRegression,0.5947374744683407,3
poduam_pod_nc_std,RMSE,Random forest,0.7200851779122264,0.55,0.73,2,2,ElasticNetCV,0.7915838820483554,3
poduam_pod_rd_std,RMSE,Random forest,0.5722334861689493,0.41,0.63,2,2,ElasticNetCV,0.7033077717598921,3
tdc_ames,ROC_AUC,"Ensemble (OOF Stacking (RidgeCV, 5-fold))",0.875897315396816,0.912,0.834,7,2,Extra trees,0.8708433687755781,2
tdc_bbb_martins,ROC_AUC,Random forest,0.9250703564727956,0.941,0.903,7,2,Tabular MLP,0.8978463101938712,8
tdc_cyp2d6_veith,AUPRC,"Ensemble (OOF Stacking (RidgeCV, 5-fold))",0.7336956730461076,0.811,0.464,6,2,AdaBoost,0.6151767695742953,6
tdc_cyp3a4_veith,AUPRC,"Ensemble (OOF Stacking (RidgeCV, 5-fold))",0.8839851712909622,0.923,0.75,6,2,AdaBoost,0.7977960615378518,6
tdc_half_life_obach,SPEARMAN,Uni-Mol V1,0.5968765395230782,0.649,0.485,16,2,Random forest,0.1079205212089606,>10
tdc_solubility_aqsoldb,MAE,Uni-Mol V1,0.7104110986585406,0.557,0.776,17,2,XGBoost,0.7441383815538976,6
polaris_adme_fang_hppb_1,MSE,"MapLight + GNN (CatBoost, Strict Parity)",0.20103600188370865,0.143,0.383,10,3,ElasticNetCV,0.3000907537956552,8
polaris_adme_fang_perm_1,MSE,Uni-Mol V1,0.15937757607251368,0.113,0.257,10,3,ChemML MLP (PyTorch),0.21229281804553762,7
polaris_adme_fang_rppb_1,MSE,"MapLight + GNN (CatBoost, Strict Parity)",0.24276993550124473,0.23,0.634,10,3,ElasticNetCV,0.36070648023304563,5
tdc_caco2_wang,MAE,MapLight CatBoost (Strict Parity),0.2724363311989904,0.256,0.288,20,3,ElasticNetCV,0.3453882500736949,>10
tdc_clearance_hepatocyte_az,SPEARMAN,"MapLight + GNN (CatBoost, Strict Parity)",0.5157053191363565,0.633,0.44,16,3,CatBoost,0.2240155958190003,>10
tdc_clintox,ROC_AUC,CFA (Combinatorial Fusion),0.9739688128772636,0.996,0.889,12,3,LogisticRegression,0.8960010060362174,5
tdc_cyp2c9_veith,AUPRC,"Ensemble (OOF Stacking (RidgeCV, 5-fold))",0.813538249556402,0.877,0.77,6,3,AdaBoost,0.7051264078902093,7
tdc_ppbr_az,MAE,"MapLight + GNN (CatBoost, Strict Parity)",7.3061861151788605,0.679,7.914,16,3,ChemML MLP (PyTorch),9.740766855557192,>10
polaris_adme_fang_rclint_1,MSE,Uni-Mol V1,0.2729228224752916,0.216,0.403,10,4,ElasticNetCV,0.36511805479020176,10
tdc_dili,ROC_AUC,Uni-Mol V1,0.9217391304347826,0.945,0.852,6,4,LogisticRegression,0.7452173913043478,7
tdc_herg,ROC_AUC,AdaBoost,0.8484536082474227,0.88,0.806,7,4,LogisticRegression,0.7094256259204713,8
tdc_hia_hou,ROC_AUC,"Ensemble (OOF Stacking (RidgeCV, 5-fold))",0.9880658436213992,0.994,0.976,8,4,LogisticRegression,0.983127572016461,7
tdc_pgp_broccatelli,ROC_AUC,Uni-Mol V2 (84m),0.9328845641162358,0.994,0.911,8,4,LogisticRegression,0.867901892828579,9
polaris_adme_fang_solu_1,MSE,Uni-Mol V2 (84m),0.30352732655094883,0.222,0.329,10,5,ChemML MLP (PyTorch),0.40994529349503445,>10
tdc_cyp2d6_substrate_carbonmangels,AUPRC,Uni-Mol V1,0.6522203476485503,0.766,0.57,7,5,AdaBoost,0.6198340065821399,7
tdc_ld50_zhu,MAE,Ensemble (Weighted average (inverse train RMSE)),0.5754761082937659,0.292,0.605,16,5,XGBoost,0.5884142455964353,8
tdc_vdss_lombardo,SPEARMAN,"MapLight + GNN (CatBoost, Strict Parity)",0.6803767535993082,0.942,0.582,16,5,Extra trees,0.3683881807120687,>10
esol_delaney,RMSE,Ensemble (Weighted average (inverse train RMSE)),0.6171060602925269,0.558,0.743,30,6,ElasticNetCV,0.7256889692847008,9
lipophilicity,RMSE,Ensemble (Weighted average (inverse train RMSE)),0.5894262039236943,0.549,0.61,27,7,ElasticNetCV,0.6823702341131107,>10
tdc_cyp3a4_substrate_carbonmangels,ROC_AUC,"Voting Classifier (KNN, SVM)",0.6552893309222423,0.692,0.651,7,7,LogisticRegression,0.6236437613019892,8
tdc_lipophilicity_astrazeneca,MAE,CFA (Combinatorial Fusion),0.4696447077382253,0.406,0.515,17,7,ChemML MLP (PyTorch),0.5417521874788439,>10
tdc_hydrationfreeenergy_freesolv,RMSE,"Ensemble (OOF Stacking (RidgeCV, 5-fold))",1.1120028129071169,0.654,1.211,12,9,ElasticNetCV,1.3212597539084845,>10
tdc_skin_reaction,ROC_AUC,Uni-Mol V2 (84m),0.6577560240963856,0.741,0.677,21,>10,"Voting Classifier (KNN, SVM)",0.5032003012048193,>10
tdc_tox21,ROC_AUC,AdaBoost,0.5562514497796335,0.867,0.84,12,>10,SVC,0.4673364648573416,>10
