dataset,suite,task_kind,family,model,analysis_metric,analysis_metric_value,cv_selected_model,cv_selected_family,cv_selected_gap_to_best
tdc_ames,TDC,classification,Conventional ML,XGBoost,test_roc_auc,0.8746558577610684,Extra trees,Conventional ML,0.7767340231665831
tdc_bbb_martins,TDC,classification,Conventional ML,Random forest,test_roc_auc,0.932418699186992,Tabular MLP,Conventional ML,5.107943827289892
tdc_bioavailability_ma,TDC,classification,Conventional ML,CatBoost,test_roc_auc,0.7766877286331892,LogisticRegression,Conventional ML,7.942624705630484
tdc_carcinogens_lagunin,TDC,classification,Conventional ML,AdaBoost,test_roc_auc,0.8626262626262626,LogisticRegression,Conventional ML,3.7470725995316148
tdc_clintox,TDC,classification,Conventional ML,CatBoost,test_roc_auc,0.9488839285714286,LogisticRegression,Conventional ML,3.5521053869677743
tdc_cyp1a2_veith,TDC,classification,Ensemble (stacking / averaging),Ensemble (Weighted average (inverse train RMSE)),test_roc_auc,0.9697811473453868,ChemML MLP (PyTorch),Deep tabular NN (ChemML MLP),2.383157172801804
tdc_cyp2c19_veith,TDC,classification,Ensemble (stacking / averaging),Ensemble (Weighted average (inverse train RMSE)),test_roc_auc,0.9209284732568748,XGBoost,Conventional ML,8.809300604802676
tdc_cyp2c9_substrate_carbonmangels,TDC,classification,Ensemble (stacking / averaging),"Ensemble (OOF Stacking (RidgeCV, 5-fold))",test_auprc,0.481501462880155,SVC,Conventional ML,37.537956987719525
tdc_cyp2c9_veith,TDC,classification,Ensemble (stacking / averaging),"Ensemble (OOF Stacking (RidgeCV, 5-fold))",test_auprc,0.8096466863698548,AdaBoost,Conventional ML,12.948551296091951
tdc_cyp2d6_substrate_carbonmangels,TDC,classification,Ensemble (stacking / averaging),Ensemble (Weighted average (inverse train RMSE)),test_auprc,0.6730598919174792,AdaBoost,Conventional ML,3.0667634218228828
tdc_cyp2d6_veith,TDC,classification,Conventional ML,XGBoost,test_auprc,0.7223933005560315,AdaBoost,Conventional ML,14.841850125023411
tdc_cyp3a4_substrate_carbonmangels,TDC,classification,Conventional ML,LogisticRegression,test_auprc,0.7166601893773767,Tabular MLP,Conventional ML,5.324595955320535
tdc_cyp3a4_veith,TDC,classification,Ensemble (stacking / averaging),"Ensemble (OOF Stacking (RidgeCV, 5-fold))",test_auprc,0.8896540840739798,AdaBoost,Conventional ML,10.3650024246896
tdc_dili,TDC,classification,Ensemble (stacking / averaging),"Ensemble (OOF Stacking (RidgeCV, 5-fold))",test_roc_auc,0.9147826086956522,LogisticRegression,Conventional ML,6.036121673003796
tdc_herg,TDC,classification,Conventional ML,AdaBoost,test_roc_auc,0.8608247422680413,Tabular MLP,Conventional ML,15.893926432848597
tdc_herg_karim,TDC,classification,Ensemble (stacking / averaging),Ensemble (Weighted average (inverse train RMSE)),test_roc_auc,0.9021504308793244,SVC,Conventional ML,9.739173845574989
tdc_hia_hou,TDC,classification,CFA combinatorial fusion,CFA (Combinatorial Fusion),test_roc_auc,0.989917695473251,LogisticRegression,Conventional ML,0.2702140927042065
tdc_pampa_ncats,TDC,classification,Ensemble (stacking / averaging),Ensemble (Weighted average (inverse train RMSE)),test_roc_auc,0.8056939830195645,Tabular MLP,Conventional ML,5.601053776988725
tdc_pgp_broccatelli,TDC,classification,Ensemble (stacking / averaging),Ensemble (Weighted average (inverse train RMSE)),test_roc_auc,0.928952279392162,Tabular MLP,Conventional ML,2.4573109484861377
tdc_skin_reaction,TDC,classification,CFA combinatorial fusion,CFA (Combinatorial Fusion),test_roc_auc,0.7690322580645161,LogisticRegression,Conventional ML,4.572147651006697
tdc_tox21,TDC,classification,Conventional ML,XGBoost,test_roc_auc,0.8122786304604486,SVC,Conventional ML,2.861218776916452
tdc_toxcast,TDC,classification,Conventional ML,CatBoost,test_roc_auc,0.7913532209252054,CatBoost,Conventional ML,0.0
chemml_cep_homo,ChemML,regression,TabPFN (tabular foundation),TabPFNRegressor,test_rmse,0.0856916631964772,ElasticNetCV,Conventional ML,28.254407466552774
chemml_organic_density,ChemML,regression,TabPFN (tabular foundation),TabPFNRegressor,test_rmse,0.0051121267168412,ElasticNetCV,Conventional ML,26.007121866625265
chemml_xyz_polarizability,ChemML,regression,TabPFN (tabular foundation),TabPFNRegressor,test_rmse,0.0072789382647337,TabPFNRegressor,TabPFN (tabular foundation),0.0
esol_delaney,MoleculeNet,regression,Ensemble (stacking / averaging),Ensemble (Weighted average (inverse train RMSE)),test_rmse,0.5921183142490405,ElasticNetCV,Conventional ML,14.804642083345342
freesolv_sampl,MoleculeNet,regression,Chemprop v2 GNN,"Chemprop v2 (AttentiveFP, ensemble=1)",test_rmse,1.0798592139451626,ElasticNetCV,Conventional ML,15.792355073764137
lipophilicity,MoleculeNet,regression,Ensemble (stacking / averaging),Ensemble (Weighted average (inverse train RMSE)),test_rmse,0.5820225825970389,ElasticNetCV,Conventional ML,13.040575644234195
poduam_pod_nc_std,PODUAM,regression,Ensemble (stacking / averaging),Ensemble (Weighted average (inverse train RMSE)),test_rmse,0.698689327028878,XGBoost,Conventional ML,5.15407083992305
poduam_pod_rd_std,PODUAM,regression,Conventional ML,XGBoost,test_rmse,0.5507770607752229,ElasticNetCV,Conventional ML,29.476955083184496
polaris_adme_fang_hppb_1,Polaris,regression,MapLight + GNN,"MapLight + GNN (CatBoost, Strict Parity)",test_rmse,0.4492138661802479,ElasticNetCV,Conventional ML,16.16736955468616
polaris_adme_fang_perm_1,Polaris,regression,Uni-Mol V1 (3D pretrained),Uni-Mol V1,test_rmse,0.3990606793974839,ChemML MLP (PyTorch),Deep tabular NN (ChemML MLP),18.507026048915563
polaris_adme_fang_rclint_1,Polaris,regression,Uni-Mol V1 (3D pretrained),Uni-Mol V1,test_rmse,0.5122971166920043,ChemML MLP (PyTorch),Deep tabular NN (ChemML MLP),12.570083114461175
