Feature family,Datasets selected,Available (sum),Selected (sum),% of selected,Enrichment vs uniform
rdkit,40,8261,1362,11.22188349674549,5.15974351529636
erg,38,12552,1146,9.442201532503914,2.85729654166557
avalon,43,44384,3603,29.686083875751834,2.5405131734287574
maccs,38,5962,224,1.8455961110653374,1.1758168380518321
maplight,41,30068,854,7.036335173436599,0.8888673575237097
fcfp6,43,42500,998,8.222789816264315,0.7348949105554722
atom_pair,41,39651,830,6.838592732965313,0.6550999648750042
rdk_path,40,45036,896,7.3823844442613495,0.6226325595936606
topological_torsion,40,23653,421,3.468731976600478,0.5570311632063766
ecfp6,37,43299,731,6.022905166021257,0.5283517364686677
layered,40,43642,674,5.553266869901953,0.4833245775925045
morgan,38,40827,398,3.279228804482162,0.3050838594436236
