Dataset,Task,Same split,A100 best model,A100 value,RTX 4060 best model,RTX 4060 value,Change (%)
tdc_ames,classification,True,"Ensemble (OOF Stacking (RidgeCV, 5-fold))",0.875897315396816,XGBoost,0.8746558577610684,0.14193669712857623
tdc_bbb_martins,classification,True,Random forest,0.9250703564727956,Random forest,0.932418699186992,-0.7880947390484296
tdc_bioavailability_ma,classification,True,CatBoost,0.7766877286331892,CatBoost,0.7766877286331892,0.0
tdc_cyp1a2_veith,classification,True,Ensemble (Weighted average (inverse train RMSE)),0.9706601373889996,Ensemble (Weighted average (inverse train RMSE)),0.9697811473453868,0.09063798012767023
tdc_cyp2c19_veith,classification,True,Ensemble (Weighted average (inverse train RMSE)),0.9227114445098922,Ensemble (Weighted average (inverse train RMSE)),0.9209284732568748,0.19360583419816604
tdc_cyp2c9_substrate_carbonmangels,classification,True,"Ensemble (OOF Stacking (RidgeCV, 5-fold))",0.4663814326429536,"Ensemble (OOF Stacking (RidgeCV, 5-fold))",0.481501462880155,-3.140183655260198
tdc_cyp2c9_veith,classification,True,"Ensemble (OOF Stacking (RidgeCV, 5-fold))",0.813538249556402,"Ensemble (OOF Stacking (RidgeCV, 5-fold))",0.8096466863698548,0.48064955394252645
tdc_cyp2d6_substrate_carbonmangels,classification,True,Uni-Mol V1,0.6522203476485503,Ensemble (Weighted average (inverse train RMSE)),0.6730598919174792,-3.0962392083056867
tdc_cyp2d6_veith,classification,True,"Ensemble (OOF Stacking (RidgeCV, 5-fold))",0.7336956730461076,XGBoost,0.7223933005560315,1.5645732707344644
tdc_cyp3a4_substrate_carbonmangels,classification,True,Random forest,0.7059550348701992,LogisticRegression,0.7166601893773767,-1.4937559900568838
tdc_cyp3a4_veith,classification,True,"Ensemble (OOF Stacking (RidgeCV, 5-fold))",0.8839851712909622,"Ensemble (OOF Stacking (RidgeCV, 5-fold))",0.8896540840739798,-0.6372041543448047
tdc_dili,classification,True,Uni-Mol V1,0.9217391304347826,"Ensemble (OOF Stacking (RidgeCV, 5-fold))",0.9147826086956522,0.7604562737642566
tdc_herg,classification,True,AdaBoost,0.8484536082474227,AdaBoost,0.8608247422680413,-1.4371257485030018
tdc_herg_karim,classification,True,Ensemble (Weighted average (inverse train RMSE)),0.905355749300726,Ensemble (Weighted average (inverse train RMSE)),0.9021504308793244,0.3552975547855555
tdc_hia_hou,classification,True,"Ensemble (OOF Stacking (RidgeCV, 5-fold))",0.9880658436213992,CFA (Combinatorial Fusion),0.989917695473251,-0.18707129494907812
tdc_pgp_broccatelli,classification,True,Uni-Mol V2 (84m),0.9328845641162358,Ensemble (Weighted average (inverse train RMSE)),0.928952279392162,0.4233031998852306
chemml_cep_homo,regression,True,Ensemble (Weighted average (inverse train RMSE)),0.0991003494900324,TabPFNRegressor,0.0856916631964772,-15.647597203022231
chemml_organic_density,regression,True,"Chemprop v2 (D-MPNN + RDKit2D, ensemble=3)",0.0051734474083698,TabPFNRegressor,0.0051121267168412,-1.1995143102886618
