dataset,task,n_train_fit,n_calibration,n_test,knn_threshold_tanimoto_distance,ad_method,error_metric,coverage,n_in,n_out,error_in,error_out,error_ratio_out_in,conformal_coverage_in,conformal_coverage_out
ames,classification,4656,1165,1457,0.7083296924829483,standardization,error_rate,0.9574468085106383,1395,62,0.21362007168458783,0.1935483870967742,0.9060402684563758,,
ames,classification,4656,1165,1457,0.7083296924829483,standardization,brier,0.9574468085106383,1395,62,0.16060485862206295,0.17060053763440863,1.0622377124708762,,
ames,classification,4656,1165,1457,0.7083296924829483,knn_tanimoto,error_rate,0.8448867536032945,1231,226,0.1917140536149472,0.3274336283185841,1.7079271036448178,,
ames,classification,4656,1165,1457,0.7083296924829483,knn_tanimoto,brier,0.8448867536032945,1231,226,0.15209173210578572,0.20971720747295966,1.3788863113682812,,
ames,classification,4656,1165,1457,0.7083296924829483,consensus,error_rate,0.8119423472889499,1183,274,0.19103972950126796,0.30656934306569344,1.6047412957819263,,
ames,classification,4656,1165,1457,0.7083296924829483,consensus,brier,0.8119423472889499,1183,274,0.151252719075796,0.2032446877534469,1.3437423736600504,,
ames,classification,4656,1165,1457,0.7083296924829483,probability_confidence,error_rate,0.3809196980096088,555,902,0.1045045045045045,0.2793791574279379,2.6733695236638884,,
ames,classification,4656,1165,1457,0.7083296924829483,probability_confidence,brier,0.3809196980096088,555,902,0.09288366366366366,0.20296072924365607,2.1851068448224322,,
bbb_martins,classification,1299,325,406,0.7761703729629515,standardization,error_rate,0.9605911330049262,390,16,0.11282051282051282,0.0,0.0,,
bbb_martins,classification,1299,325,406,0.7761703729629515,standardization,brier,0.9605911330049262,390,16,0.08658682776259602,0.056367115162037046,0.6509894936512115,,
bbb_martins,classification,1299,325,406,0.7761703729629515,knn_tanimoto,error_rate,0.7807881773399015,317,89,0.10410094637223975,0.12359550561797752,1.1872659176029963,,
bbb_martins,classification,1299,325,406,0.7761703729629515,knn_tanimoto,brier,0.7807881773399015,317,89,0.08429341582039991,0.08932273994312666,1.0596644954268135,,
bbb_martins,classification,1299,325,406,0.7761703729629515,consensus,error_rate,0.7635467980295566,310,96,0.1064516129032258,0.11458333333333333,1.0763888888888888,,
bbb_martins,classification,1299,325,406,0.7761703729629515,consensus,brier,0.7635467980295566,310,96,0.08529282185465585,0.08572876974022635,1.0051111907906316,,
bbb_martins,classification,1299,325,406,0.7761703729629515,probability_confidence,error_rate,0.7561576354679803,307,99,0.035830618892508145,0.3333333333333333,9.303030303030303,,
bbb_martins,classification,1299,325,406,0.7761703729629515,probability_confidence,brier,0.7561576354679803,307,99,0.04018994824219952,0.22558002585504833,5.61284688638113,,
bioavailability_ma,classification,409,103,128,0.8183842658996582,standardization,error_rate,0.9765625,125,3,0.28,0.0,0.0,,
bioavailability_ma,classification,409,103,128,0.8183842658996582,standardization,brier,0.9765625,125,3,0.17282373333333334,0.1676925925925926,0.9703099762875503,,
bioavailability_ma,classification,409,103,128,0.8183842658996582,knn_tanimoto,error_rate,0.9609375,123,5,0.2764227642276423,0.2,0.7235294117647059,,
bioavailability_ma,classification,409,103,128,0.8183842658996582,knn_tanimoto,brier,0.9609375,123,5,0.17277226738934057,0.17101111111111109,0.9898064874366629,,
bioavailability_ma,classification,409,103,128,0.8183842658996582,consensus,error_rate,0.953125,122,6,0.2786885245901639,0.16666666666666666,0.5980392156862745,,
bioavailability_ma,classification,409,103,128,0.8183842658996582,consensus,brier,0.953125,122,6,0.17376730418943534,0.1510722222222222,0.8693938305996177,,
bioavailability_ma,classification,409,103,128,0.8183842658996582,probability_confidence,error_rate,0.6875,88,40,0.14772727272727273,0.55,3.723076923076923,,
bioavailability_ma,classification,409,103,128,0.8183842658996582,probability_confidence,brier,0.6875,88,40,0.12216540404040402,0.28388722222222224,2.3237939124593048,,
caco2_wang,regression,582,146,182,0.8039860963821409,standardization,mae,0.9945054945054945,181,1,0.28100975876844714,0.561723726666675,1.9989474000066205,0.9502762430939227,1.0
caco2_wang,regression,582,146,182,0.8039860963821409,knn_tanimoto,mae,0.7417582417582418,135,47,0.30235029472275776,0.22568511225921958,0.7464358930629227,0.9407407407407408,0.9787234042553191
caco2_wang,regression,582,146,182,0.8039860963821409,consensus,mae,0.7362637362637363,134,48,0.3004146720963106,0.23268591672604155,0.7745491094104893,0.9402985074626866,0.9791666666666666
caco2_wang,regression,582,146,182,0.8039860963821409,conformal_interval_width,mae,0.3241758241758242,59,123,0.2243806926633706,0.3104555219237134,1.383610676295921,0.9152542372881356,0.967479674796748
clearance_hepatocyte_az,regression,776,194,243,0.7751958072185516,standardization,mae,0.9423868312757202,229,14,34.34653955494328,37.29568912698413,1.0858645327958927,0.9344978165938864,1.0
clearance_hepatocyte_az,regression,776,194,243,0.7751958072185516,knn_tanimoto,mae,0.8765432098765432,213,30,33.434882884653604,42.19557171428573,1.2620224171221255,0.9342723004694836,0.9666666666666667
clearance_hepatocyte_az,regression,776,194,243,0.7751958072185516,consensus,mae,0.8559670781893004,208,35,33.60986988508598,39.90412199319729,1.1872739207153051,0.9326923076923077,0.9714285714285714
clearance_hepatocyte_az,regression,776,194,243,0.7751958072185516,conformal_interval_width,mae,0.5061728395061729,123,120,25.20313755247989,44.06259405753968,1.7482979635289133,0.9349593495934959,0.9416666666666667
clearance_microsome_az,regression,704,177,221,0.7829752117395401,standardization,mae,0.9909502262443439,219,2,26.33100063347105,39.03387222222221,1.4824302640669003,0.9269406392694064,1.0
