dataset,task,n_train_fit,n_calibration,n_test,knn_threshold_tanimoto_distance,test_auroc,test_error_rate,brier,ece_10bin,alpha,conformal_coverage,conformal_singleton_fraction,conformal_mean_set_size,confidence_reliable_fraction,test_mae,conformal_mean_width,conformal_mean_width_over_train_range,interval_reliable_fraction
ames,classification,4656,1165,1457,0.7083296924829483,0.8448373768822574,0.2127659574468085,0.16103020666514145,0.07458018760009148,0.1,0.8888126286890872,0.7192862045298559,1.2807137954701442,0.3809196980096088,,,,
bbb_martins,classification,1299,325,406,0.7761703729629515,0.9140478424015009,0.10837438423645321,0.08539590312809124,0.06162176479787319,0.1,0.9137931034482759,0.9384236453201971,1.061576354679803,0.7561576354679803,,,,
bioavailability_ma,classification,409,103,128,0.8183842658996582,0.7053541735949451,0.2734375,0.1727034722222222,0.07770833333333335,0.1,0.9140625,0.6484375,1.3515625,0.6875,,,,
caco2_wang,regression,582,146,182,0.8039860963821409,,,,,0.1,0.9505494505494505,,,,0.2825521432074484,1.693620055981568,0.3984988179486598,0.3241758241758242
clearance_hepatocyte_az,regression,776,194,243,0.7751958072185516,,,,,0.1,0.9382716049382716,,,,34.516449406830404,159.25741273232282,1.0833837600838288,0.5061728395061729
clearance_microsome_az,regression,704,177,221,0.7829752117395401,,,,,0.1,0.9276018099547512,,,,26.445958747396393,110.61626592803782,0.7524916049526382,0.6199095022624435
cyp2c9_substrate_carbonmangels,classification,427,107,135,0.8205194473266602,0.5698589256646772,0.28888888888888886,0.21255275720164607,0.11392592592592592,0.1,0.8148148148148148,0.7703703703703704,1.2296296296296296,0.7555555555555555,,,,
cyp2c9_veith,classification,7738,1935,2419,0.7249122798442841,0.8804048892284186,0.190988011575031,0.13161801235166795,0.05261522208442425,0.1,0.909466721785862,0.7589913187267466,1.2410086812732535,0.5543613063249276,,,,
cyp2d6_substrate_carbonmangels,classification,425,107,135,0.8232127547264094,0.8058645096056622,0.2518518518518518,0.16402872427983542,0.05933333333333334,0.1,0.8888888888888888,0.7111111111111111,1.288888888888889,0.5555555555555556,,,,
cyp2d6_veith,classification,8403,2101,2626,0.7202830374240875,0.8646027325868164,0.12490479817212491,0.09319351588607044,0.05629927979061643,0.1,0.9097486671744097,0.924980959634425,1.075019040365575,0.8035034272658035,,,,
cyp3a4_substrate_carbonmangels,classification,428,107,135,0.8236381083726882,0.6834312839059675,0.362962962962963,0.2187614814814815,0.061333333333333316,0.1,0.9259259259259259,0.3333333333333333,1.6666666666666667,0.17037037037037037,,,,
cyp3a4_veith,classification,7888,1973,2467,0.7242422133684158,0.8744379641925302,0.21443048236724768,0.1475212576607592,0.06538441072956679,0.1,0.8937981353871098,0.752736116740981,1.247263883259019,0.4462910417511147,,,,
dili,classification,303,76,96,0.8375112175941467,0.931086956521739,0.125,0.13666516203703705,0.17336805555555554,0.1,0.9479166666666666,0.5520833333333334,1.4479166666666667,0.3020833333333333,,,,
half_life_obach,regression,425,107,135,0.8233628273010253,,,,,0.1,0.9407407407407408,,,,17.358774221046446,89.46576348239479,0.07455884150591056,0.4740740740740741
herg,classification,418,105,132,0.8131475687026977,0.8465390279823269,0.16666666666666666,0.12149351851851851,0.09654040404040401,0.1,0.8636363636363636,0.9393939393939394,1.0606060606060606,0.7651515151515151,,,,
hia_hou,classification,368,93,117,0.8238783448934555,0.9660493827160495,0.08547008547008547,0.07092089268755934,0.09415954415954406,0.1,0.9145299145299145,1.0,1.0,0.8034188034188035,,,,
ld50_zhu,regression,4725,1182,1478,0.7357266664505006,,,,,0.1,0.8179972936400541,,,,0.6199948105386944,1.9602427761015173,0.26336729492160654,0.33355886332882273
lipophilicity_astrazeneca,regression,2688,672,840,0.7417419463396072,,,,,0.1,0.8797619047619047,,,,0.6206664853552532,2.2766665590416073,0.37944442650693455,0.3761904761904762
pgp_broccatelli,classification,778,195,245,0.7923537939786911,0.918555051986137,0.17551020408163265,0.12044988662131519,0.0649251700680272,0.1,0.8816326530612245,0.889795918367347,1.110204081632653,0.6612244897959184,,,,
ppbr_az,regression,1784,447,559,0.7482861191034317,,,,,0.1,0.9320214669051878,,,,8.65416216977733,37.562634884532365,0.4180128520424256,0.22719141323792486
solubility_aqsoldb,regression,6388,1597,1995,0.7263724625110626,,,,,0.1,0.8862155388471178,,,,0.8182666323317596,3.1909954595659547,0.22747309457860299,0.21604010025062656
vdss_lombardo,regression,723,181,226,0.8145963966846466,,,,,0.1,0.9513274336283186,,,,5.259680860373647,33.03108826183507,0.047187943058950944,0.5176991150442478
