dataset,rank,feature,importance,method
ames,1,rdkit_HallKierAlpha,0.012205822775569563,native
ames,2,rdkit_SlogP_VSA8,0.0108578127521826,native
ames,3,rdkit_BCUT2D_MRLOW,0.010517249951250036,native
ames,4,rdkit_SMR_VSA5,0.010147416146906672,native
ames,5,rdkit_Kappa3,0.009167510456630648,native
ames,6,rdkit_BCUT2D_MWHI,0.00899715264114926,native
ames,7,rdkit_SMR_VSA7,0.008993836922024174,native
ames,8,rdkit_BertzCT,0.00888914343150324,native
ames,9,rdkit_BCUT2D_MRHI,0.008737796135025972,native
ames,10,rdkit_MaxAbsPartialCharge,0.008724873759912294,native
bbb_martins,1,rdkit_TPSA,0.01927862872544848,native
bbb_martins,2,rdkit_PEOE_VSA10,0.018227687750911516,native
bbb_martins,3,rdkit_NHOHCount,0.015454512425689976,native
bbb_martins,4,rdkit_NumHDonors,0.015194082692234871,native
bbb_martins,5,rdkit_NOCount,0.014651287334378064,native
bbb_martins,6,rdkit_NumHeteroatoms,0.014350521437823269,native
bbb_martins,7,rdkit_NumHAcceptors,0.013857156165814727,native
bbb_martins,8,rdkit_MaxAbsPartialCharge,0.01156683098566159,native
bbb_martins,9,rdkit_PEOE_VSA1,0.011428530549654016,native
bbb_martins,10,rdkit_VSA_EState3,0.011354315013074993,native
bioavailability_ma,1,rdkit_Chi2v,0.008922944187355166,native
bioavailability_ma,2,rdkit_BCUT2D_MRLOW,0.008210806075636347,native
bioavailability_ma,3,rdkit_SMR_VSA5,0.007928700279698307,native
bioavailability_ma,4,rdkit_qed,0.007729414716261087,native
bioavailability_ma,5,rdkit_MolWt,0.007591439907076315,native
bioavailability_ma,6,rdkit_TPSA,0.007366117548908604,native
bioavailability_ma,7,rdkit_BCUT2D_CHGHI,0.007197276220074623,native
bioavailability_ma,8,rdkit_BCUT2D_MRHI,0.007161249206088045,native
bioavailability_ma,9,rdkit_Chi0v,0.00708096969647053,native
bioavailability_ma,10,rdkit_MinPartialCharge,0.007043766701079924,native
caco2_wang,1,rdkit_NHOHCount,0.13703458422349823,native
caco2_wang,2,rdkit_NumHDonors,0.13682523987906764,native
caco2_wang,3,rdkit_TPSA,0.08033136554480869,native
caco2_wang,4,rdkit_VSA_EState3,0.03600706458939493,native
caco2_wang,5,rdkit_qed,0.025092878227920477,native
caco2_wang,6,rdkit_MolLogP,0.024880766337650847,native
caco2_wang,7,rdkit_NOCount,0.01966069919384997,native
caco2_wang,8,rdkit_PEOE_VSA1,0.01897117092629734,native
caco2_wang,9,rdkit_VSA_EState8,0.015545240977126562,native
caco2_wang,10,rdkit_BalabanJ,0.013967538186266015,native
clearance_hepatocyte_az,1,rdkit_MinEStateIndex,0.03437837774521424,native
clearance_hepatocyte_az,2,rdkit_fr_ester,0.019613082266360982,native
clearance_hepatocyte_az,3,rdkit_BCUT2D_CHGHI,0.01786515525177646,native
clearance_hepatocyte_az,4,rdkit_TPSA,0.017731432450061785,native
clearance_hepatocyte_az,5,rdkit_MinPartialCharge,0.015812062337068753,native
clearance_hepatocyte_az,6,rdkit_MaxAbsPartialCharge,0.012507666413277522,native
clearance_hepatocyte_az,7,morgan_r2_bit145,0.01221318471051821,native
clearance_hepatocyte_az,8,morgan_r2_bit2023,0.011750397781846236,native
clearance_hepatocyte_az,9,rdkit_VSA_EState3,0.011570881606222428,native
clearance_hepatocyte_az,10,rdkit_MaxEStateIndex,0.010741437581138977,native
clearance_microsome_az,1,rdkit_PEOE_VSA12,0.03165430668368746,native
clearance_microsome_az,2,rdkit_AvgIpc,0.017097812296084296,native
clearance_microsome_az,3,rdkit_BCUT2D_MWLOW,0.015371507905654823,native
clearance_microsome_az,4,rdkit_VSA_EState8,0.014894260772264816,native
clearance_microsome_az,5,rdkit_MinEStateIndex,0.01357971005903227,native
clearance_microsome_az,6,rdkit_MinPartialCharge,0.013403048207178393,native
clearance_microsome_az,7,rdkit_VSA_EState5,0.01332933362737271,native
clearance_microsome_az,8,rdkit_fr_COO,0.012477205384856365,native
clearance_microsome_az,9,rdkit_BCUT2D_CHGHI,0.010639231995866699,native
clearance_microsome_az,10,rdkit_fr_COO2,0.010519609438293715,native
cyp2c9_substrate_carbonmangels,1,rdkit_BCUT2D_MRHI,0.010143355445189866,native
cyp2c9_substrate_carbonmangels,2,rdkit_MinAbsPartialCharge,0.008837708404214214,native
cyp2c9_substrate_carbonmangels,3,rdkit_MaxAbsPartialCharge,0.008526492579014592,native
cyp2c9_substrate_carbonmangels,4,rdkit_MinPartialCharge,0.007844676297794001,native
cyp2c9_substrate_carbonmangels,5,rdkit_BCUT2D_MWLOW,0.007692026477461442,native
cyp2c9_substrate_carbonmangels,6,rdkit_BCUT2D_LOGPLOW,0.007479215619769262,native
cyp2c9_substrate_carbonmangels,7,rdkit_BalabanJ,0.00733033778996303,native
cyp2c9_substrate_carbonmangels,8,rdkit_BCUT2D_MRLOW,0.007230235013758546,native
cyp2c9_substrate_carbonmangels,9,rdkit_BCUT2D_LOGPHI,0.007102014521120316,native
cyp2c9_substrate_carbonmangels,10,rdkit_PEOE_VSA3,0.006867027389584649,native
cyp2c9_veith,1,rdkit_MolLogP,0.019995850394926695,native
cyp2c9_veith,2,rdkit_SMR_VSA7,0.014391299997107533,native
cyp2c9_veith,3,rdkit_SlogP_VSA6,0.014164246770737389,native
cyp2c9_veith,4,rdkit_BCUT2D_MRHI,0.01266778391239694,native
cyp2c9_veith,5,rdkit_VSA_EState6,0.012188317457509283,native
cyp2c9_veith,6,rdkit_FractionCSP3,0.012078354417895697,native
cyp2c9_veith,7,rdkit_SlogP_VSA2,0.011889721571699704,native
cyp2c9_veith,8,rdkit_BertzCT,0.009591538615882307,native
cyp2c9_veith,9,rdkit_MaxEStateIndex,0.009285812466885082,native
cyp2c9_veith,10,rdkit_SPS,0.00885167663194359,native
cyp2d6_substrate_carbonmangels,1,rdkit_SMR_VSA6,0.012661307411427021,native
cyp2d6_substrate_carbonmangels,2,rdkit_MinAbsPartialCharge,0.012034132712629163,native
cyp2d6_substrate_carbonmangels,3,rdkit_EState_VSA8,0.011048942224477463,native
cyp2d6_substrate_carbonmangels,4,rdkit_EState_VSA2,0.010945289652311204,native
