dataset,n_train_val,n_test,train_val_hash,test_hash,canonical_split_recorded,canonical_n_train,canonical_n_test,canonical_test_hash_matches,canonical_train_hash_matches
ames,5821,1457,27a3e41affcf68cad2a3ad249fe55d8f13dbc280778ae4db65dd3d0f150856a5,7e5451051ca16ec30bb2d17d2b0c3bd0ef10671f14c0e0dc6bd9e276b7d12e95,True,5821,1457,False,False
bbb_martins,1624,406,20f57145191e5afb70397020eefb79eaba55b3df1875a7332e95441acbbbdc21,5a6d6efd02dad32d716facaa7dc1499234c4bbe3efde36e442319c28eb39791e,True,1624,406,False,True
bioavailability_ma,512,128,4279ade093896bea9eb5032b4fb68e01e5e3baf52d4a6196892da44292b4da5e,62ddf8caa04ebb04c7cb2cad9881f9be63e9bf0d4445e641c1016a588f2028ae,True,512,128,True,True
caco2_wang,728,182,729d7d7a0da3ebf611664245fc8509b21dec920925b88e5b8d800e156467839c,17c1867cfa548e0c99eac0a039bbc9b8510dbe3a449a724ee8513bb84bc9e300,True,728,182,False,True
clearance_hepatocyte_az,970,243,7b5d2cbab741dc2beb77ec0435215612ef7b59475fd5b151e67e9048938ca677,b9e96f135fe3bcdd50b2b86ee1a955f3962bece0fe7333544ff02ce249fc3e79,True,970,243,True,False
clearance_microsome_az,881,221,141ccb460a513c277217512efc9414ae5c72dcab87136aaec14bb4f7195f94f3,e6f80dfa2e43d14511bd426e9803b2dc209eb886e94ec89160048037c85fd331,True,881,221,True,False
cyp2c9_substrate_carbonmangels,534,135,6967ccc0adb104154252e501659e742ef54941bc3996874193f21c294e50f01c,089b6bab4e45d705a3f2b441697ac88be9eb040c3a7537e2ecc85dd12079b8bb,True,534,135,False,False
cyp2c9_veith,9673,2419,aa943ad8e209fb502ca7974d756b8e67bbf5ec91528bd92b1774ccad79f95e40,09121ce9b4b66f134b01cc4826162224f3e221da03b62c5bf18b3618b06ca787,True,9673,2419,False,False
cyp2d6_substrate_carbonmangels,532,135,b9258cab98789b7409ef8836f61ae6fc209217309ee2dde8e3a15452176f8399,86cf1b9241c37c3444a8c48659f4f2b1bae44a87cfbb0e20cc95e84f9c58f7d7,True,532,135,True,False
cyp2d6_veith,10504,2626,ebf6955d070bc1dca69c39e7468257a4b65c81e995fd23c1deca355a4b7428a2,83f5a94fb95107ad49a2f855a17b15775876365ea7ecd5d720f608c631b334ba,True,10504,2626,False,False
cyp3a4_substrate_carbonmangels,535,135,673b9d981dd53d62a5f67044e9f31e1f1640092c9da717b69aa5d45512fb7457,a2d1a13b3b2492c2e9c1012b1e19cc4609c2b4916b7d43d8df5dff3f23eb1bd2,True,535,135,True,False
cyp3a4_veith,9861,2467,993a295938a8fdcff5d7e3d52cc8d9b5939d1f03954bf961d2346b1563a2270a,2f8d9e8f3b853f0f1c25b476a13d695a5a859c4cf68cd9587a112698ba5ee608,True,9861,2467,False,False
dili,379,96,f2a7e7ea20931ec51770fa53937aeb46667b093259fb17051a14430d5e99ecf0,884555c3aeea80e8c967b851b0d53fb258541a7556a1c281900b519f1259f330,True,379,96,True,True
half_life_obach,532,135,89531035b9958b3b77e04bb8ca5d59104a39c6fc4905facb842f44106cc594d9,67cfc0525a701d7c5ef2234732cd8b0d46358910ca93791cebd17e78270097ab,True,532,135,True,False
herg,523,132,df0ce96b4f96957f466051f4fe74f6ec8d716cbb41f8cb35ff78d6b00466a7aa,75c42c053c342f6b55693d4118ce7106803c73bc7e4134eda594e476492c50d4,True,523,132,True,True
hia_hou,461,117,e28e6b6243867edaf0928f783763f7df35c0a99d3972d458d046507c6e73c1cf,deb0c09fd7fb463100a0b74087bf9f3b42e212410e12bbac3e112dd9358a68d4,True,461,117,True,True
ld50_zhu,5907,1478,6256f884a78ae46696836eded007c1cf018bb56304934a057fc4e77c36d18ec6,e152a1f0ee254a8a1feed858602665e37dd2bb3f2e9e7fb190aceb5a335fe5b8,True,5907,1478,True,True
lipophilicity_astrazeneca,3360,840,4e4637e4ac5d6ec1b7a2157ad55a0e1acb60e6772f90c3f917963d26af3c7521,c72574f1bf4a1edeccaebe663e313607d824d4b322486b73d06340e2e8d5f0a8,True,3360,840,True,False
pgp_broccatelli,973,245,32363057d891fc0b6a881feedde072c8ba7bae28eaa9ed4fe6f934d325558ff4,e142ffcf2379e5e37b234e45685e2832b5c3d3d25a9c881ee4ed7c83583b9a6d,True,973,245,True,False
ppbr_az,2231,559,1915ca6bbe91d481664b3ed25855a1a2809cf484eb04023ef5411b9a431a3741,bcaf235090635f14c36f8d513dc97da502f91a26b738e6f91c992a24343738c3,True,2231,559,True,True
solubility_aqsoldb,7985,1997,d46cb340e747e193efbf096d2da6c206d0f04bd2316b14d7726a9aeccaac1135,1e649dd75b81e40c32d124a28379d468e3688e25e8414d01e0d496fdc0e8e8f2,True,7985,1995,False,False
vdss_lombardo,904,226,f1c40995990a173bc08c8d116dea7a537a152c59e872ce709280bb6ff7f35f1f,c197720b06c9e887bf63d82e8e5273c5b02870d327a904337b8f804455cf84f1,True,904,226,True,False
